zeng,2820,"ZENG:163,Zeng:27,ZEng:2,zenG:1,ZenG:1,ZeNg:1,"
dian,2816,"DIAN:146,Dian:6,dIaN:1,DIan:1,"
pei,2811,"PEI:178,Pei:17,"
san,2763,"SAN:137,San:27,"
kong,2735,"KONG:137,Kong:27,KOng:2,"
ou,2588,"OU:142,Ou:11,oU:1,"
heng,2496,"HENG:143,Heng:21,henG:1,HenG:1,"
fen,2491,"FEN:147,Fen:29,fEn:1,FeN:1,"
gan,2476,"GAN:140,Gan:17,gAn:1,gAN:1,"
chuan,2451,"CHUAN:135,Chuan:10,CHuan:2,chuaN:1,cHUan:1,cHUAN:1,"
shuang,2444,"SHUANG:97,Shuang:12,shuANG:2,ShUang:1,"
cong,2433,"CONG:102,Cong:10,"
re,2415,"RE:98,Re:22,rE:9,"
hang,2393,"HANG:105,Hang:27,HANg:2,hanG:1,HaNg:1,"
zou,2380,"ZOU:136,Zou:23,"
ga,2345,"GA:91,Ga:29,gA:22,"
pi,2201,"PI:122,Pi:36,pI:1,"
chu,2178,"CHU:94,Chu:11,ChU:1,"
te,2141,"TE:104,Te:22,"
ti,2100,"TI:115,Ti:43,tI:4,"
duan,2085,"DUAN:111,Duan:17,dUaN:1,DuaN:1,DuAn:1,DUAn:1,"
en,2054,"EN:121,En:14,eN:3,"
huo,2049,"HUO:116,Huo:13,HuO:2,hUo:1,hUO:1,"
men,2037,"MEN:117,Men:3,meN:1,mEN:1,"
hei,2031,"HEI:93,Hei:12,hEi:1,"
ku,1938,"KU:104,Ku:14,kU:2,"
zuo,1914,"ZUO:104,Zuo:12,"
tou,1865,"TOU:95,Tou:5,"
chong,1860,"CHONG:85,Chong:31,cHong:1,CHong:1,"
she,1858,"SHE:113,She:14,sHE:2,shE:1,ShE:1,"
sen,1849,"SEN:85,Sen:9,sEn:1,"
gai,1846,"GAI:88,gAI:21,Gai:18,gAi:3,"
ci,1844,"CI:74,Ci:16,cI:1,"
tai,1841,"TAI:91,Tai:17,TAi:1,"
biao,1812,"BIAO:87,Biao:5,"
shou,1751,"SHOU:79,Shou:11,SHou:1,"
