kuo,5
fou,5
zun,4,"Zun:1,ZUN:1,"
zhou,4
rong,4
pou,4
pang,4
kui,4
jue,4
huan,4,"Huan:1,"
guo,4
gou,4,"Gou:1,"
diu,4
cuo,4
zang,3
xuan,3
xiong,3
xiang,3
weng,3,"WENG:1,"
seng,3
ruan,3
neng,3
luan,3
liang,3
kuan,3
kua,3
jian,3
cui,3
chui,3
beng,3,"BEng:1,"
zuan,2
zong,2
zhong,2
zhe,2
tui,2
sheng,2
sao,2
reng,2
qun,2,"Qun:1,"
qiang,2
qian,2
qia,2
piao,2
nuo,2
nong,2
keng,2
jiao,2
huai,2
guan,2
duan,2
chuan,2
zuo,1
zui,1
zhuo,1
zhuang,1
zhuan,1
zeng,1
zei,1
xun,1
shuang,1
ruo,1
qiao,1
nuan,1,"Nuan:1,"
niao,1
niang,1
miu,1
miao,1
kuai,1
jiu,1
jiang,1
heng,1
guang,1
geng,1
dui,1
chuang,1
cang,1
biao,1
